what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1321130704262
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1321130704277
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1321130704315
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1321130704322
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1321130704345
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1321130704364
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1321130704416
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1321130704452
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1321130704490
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1321130704509
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1321130704509
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1321130704510
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1321130704539
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1321130704544
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1321130704546
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1321130704585
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1321130704590
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321130704591
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1321130704637
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321130704639
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1321130704640
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1321130704641
os,sysinfo,,,"win32",1321130704648
arch,sysinfo,,,"x86_64",1321130704648
ws,sysinfo,,,"win32",1321130704648
locale,sysinfo,,,"en_US",1321130704648
processors,sysinfo,,,"2",1321130704648
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321130704648
java.runtime.version,sysinfo,,,"1.7.0-b147",1321130704648
java.specification.name,sysinfo,,,"Java Platform API Specification",1321130704648
java.specification.vendor,sysinfo,,,"Oracle Corporation",1321130704648
java.specification.version,sysinfo,,,"1.7",1321130704648
java.vendor,sysinfo,,,"Oracle Corporation",1321130704648
java.version,sysinfo,,,"1.7.0",1321130704648
